# ID	DocID	SntID	ExID	Pre	Post	Q1	Q2	Q2-info	Q3
1	101395	16236	1	[空白]	にある	o	o	n/a	X15
2	101395	16237	1	その	[空白]	x	o	n/a	X16
3	101395	16237	2	ちょうど	わずか	o	o	n/a	X03
4	101395	16239	1	〜を主張した	〜について犯行声明を出している	o	o	n/a	X03
5	101395	16239	2	[空白]	、	o	o	n/a	X13
6	101395	16239	3	おそらく〜された	おそらく〜されたものだろう	o	o	n/a	X15
7	101395	16241	1	保守的な野党	保守派野党	o	o	n/a	X15
8	101395	16241	2	である	の	o	o	n/a	X15
9	101395	16242	1	その	これら	o	o	n/a	X03
10	101395	16243	1	が	は	x	o	n/a	X16
11	10578	15342	1	押し込んだ	ぶつけた	o	o	n/a	X04b
12	10578	15344	1	独立した支援団体	独立支援団体	o	o	n/a	X07
13	10578	15345	1	考え	考えており	o	o	n/a	X03
14	10578	15345	2	空港に第三滑走路を建設すること	空港の第三滑走路の建設	o	o	n/a	X04b
15	108775	17629	1	自身が〜で〜を得るであろうことを	〜における、自身の〜を	o	o	n/a	X15
16	108775	17629	2	大統領選挙	大統領選	o	o	n/a	X15
17	108775	17629	3	無競争の	対立候補のいない	o	o	n/a	X04b
18	108775	17631	1	開票結果	選挙結果	o	o	n/a	X04b
19	108775	17633	1	選挙を延期するよう	選挙の延期を	o	o	n/a	X04b
20	108775	17634	1	状況は存在しない	状況はない	o	o	n/a	X04b
21	108775	17634	2	[空白]	、	o	o	n/a	X13
22	110217	5960	1	モデル	蝋人形	x	o	n/a	X03
23	110217	5960	2	その歌手	本人	x	o	n/a	X16
24	110217	5962	1	忙しくて	忙しく	o	o	n/a	X15
25	110217	5963	1	報酬	ご褒美	o	x	スタイル	X14
26	110217	5964	1	その２４歳の問題のある歌手	問題の多いこの２４歳の歌手	o	o	n/a	X15
27	110682	10160	1	は	が	x	o	n/a	X16
28	110682	10161	1	[空白]	この	x	o	n/a	X01
29	110682	10161	2	〜を徹底的にチェックされ	〜について徹底的なチェックを受け	o	o	n/a	X04b
30	110682	10162	1	以来	以降	o	x	スタイル	X14
31	110682	10162	2	その	[空白]	x	o	n/a	X16
32	110682	10162	3	手足	腕	x	o	n/a	X06
33	110682	10162	4	免疫抑制薬	免疫抑制剤	o	x	用語	X07
34	110682	10163	1	診察	発表内容	o	o	n/a	X03
35	110682	10163	2	では	によると	o	o	n/a	X15
36	110682	10163	3	二重連結	手術	x	x	情報レベルの制御	X16
37	110682	10163	4	[空白]	この	x	o	n/a	X01
38	110682	10163	5	ことが示された	ようだ	o	o	n/a	X03
39	110682	10164	1	ドナーの	提供された	o	o	n/a	X03
40	110682	10164	2	自動車事故	交通事故	o	o	n/a	X04b
41	110682	10164	3	匿名の	氏名非公表の	o	x	情報レベルの制御	X14
42	110682	10164	4	ティーンエイジャー	１０代の若者	o	x	情報レベルの制御	X14
43	113129	4859	1	何年も	長年にわたり	x	o	n/a	X14
44	113129	4860	1	〜として起訴された裁判	〜罪で裁判	o	o	n/a	X04b
45	113129	4861	1	去った	出た	o	o	n/a	X08
46	113129	4862	1	〜した	〜していた	o	o	n/a	X03
47	113129	4865	1	モハメッド・アーマド	モハメド・アーメド	x	x	NE	X07
48	113129	4865	2	たった	わずか	o	x	スタイル	X14
49	113129	4866	1	ファウツィア	ファウジア	x	x	NE	X07
50	113129	4867	1	モハメッド・アーメド	モハメド・アーメド	x	x	NE	X07
51	113129	4870	1	モハメッド・アーメド	モハメド・アーメド	x	x	NE	X07
52	113129	4870-1	1	フォージア	ファウジア	x	x	NE	X07
53	114467	12990	1	火炎除草機	火炎放射器	o	x	用語	X07
54	114467	12990	2	焼死させるために〜を使った	〜を使って焼死させた	o	o	n/a	X04b
55	114467	12993	1	いつの間にか	その過程で	o	o	n/a	X03
56	114467	12993	2	明らかに〜だった	〜と見られている	o	o	n/a	X03
57	114467	12994	1	薬物による	薬物誘導による	x	x	専門知識	X03
58	114594	11928	1	アカウント	口座	o	o	n/a	X03
59	114594	11928	2	〜を通して	〜を通した	o	o	n/a	X03
60	114594	11928	3	引き出し要求	引き出しの要求	o	o	n/a	X15
61	114594	11928	4	〜ない	〜ません	o	x	スタイル	X14
62	114594	11929	1	おかけしたこと	おかけしておりますこと	x	o	n/a	X03
63	114594	11031	1	英国	イギリス	o	x	NE,スタイル	X07
64	114594	11932	1	イギリス自体の	イギリスが所有する	o	o	n/a	X03
65	114594	11932	2	金融報酬システム	金融補償システム	o	x	専門知識	X03
66	114594	11934	1	銀行を国有化する	銀行の国有化	o	o	n/a	X04b
67	114594	11934	2	〜する際の	〜における	o	x	スタイル	X14
68	116244	6054	1	自身の	[空白]	o	o	n/a	X16
69	116244	6055	1	クライトン氏	クライトン	o	x	スタイル	X14
70	116244	6056	1	〜、〜、だった	〜であり、〜であり、だった	o	o	n/a	X03
71	116244	6057	1	[空白]	『...』	o	x	スタイル	X14
72	116244	6057	2	[空白]	シリーズ	o	x	専門知識	X15
73	116244	6058	1	主要な	メジャーな	o	x	スタイル	X15
74	116244	6059	1	[空白]	『...』	o	x	スタイル	X14
75	123935	3607	1	〜しなかった	〜していない	o	o	n/a	X03
76	123935	3607	2	〜に診てもらったり	〜の診察を受けたり	o	x	スタイル	X14
77	12493	19905	1	実際	事実	x	o	n/a	X15
78	12493	19905	2	の専門家だった	で専門医を務めていた	o	o	n/a	X15
79	12493	19906	1	受けた	受けている	o	o	n/a	X03
80	12493	19909	1	置き去りにしている	残して亡くなった	x	x	事実確認	X03
81	125197	18603	1	だった	た	x	o	n/a	X03
82	125197	18606	1	自分の名前を提示しなかった	立候補していない	o	x	事実確認	X03
83	130065	4908	1	申し立	申し立て	o	x	スタイル	X14
84	130530	5558	1	は	が	x	o	n/a	X16
85	130530	5559	1	墜落	衝突	x	o	n/a	X03
86	130530	5567	1	[年齢]	（[年齢]）	o	x	スタイル	X14
87	130530	5568	1	病院に入院している	入院している	o	o	n/a	X16
88	130530	5569	1	ピックアップ・トラック	ピックアップトラック	o	x	スタイル	X14
89	130530	5569	2	乗った	乗っていた	o	o	n/a	X03
90	131531	13110	1	太陽	恒星	o	x	専門知識	X03
91	131531	13121	1	３００の惑星がある	惑星は３００ある	o	o	n/a	X15
92	131943	16501	1	イイヌマ・ゲン	ゲン・イイヌマ	o	o	n/a	X07
93	131943	16502	1	小さな	小型の	o	o	n/a	X08
94	131943	16504	1	それが	[空白]	x	o	n/a	X16
95	131943	16504	2	行われなければ	対処されなければ	x	o	n/a	X15
96	131943	16504	3	飯沼	イイヌマ	x	o	n/a	X07
97	131943	16505	1	飯沼	イイヌマ	x	o	n/a	X07
98	131943	16506	1	火事	場所	o	o	n/a	X15
99	131943	16506	2	〜を消火するために	〜の消火には	o	o	n/a	X04b
100	131943	16506	3	それらの	[空白]	x	o	n/a	X16
101	131943	16507	1	飯沼	イイヌマ	x	o	n/a	X07
102	131943	16511	1	その	この	x	o	n/a	X16
103	131943	16512	1	家	巣箱	x	x	専門知識	X03
104	131943	16512	2	到達する	戻ってくる	x	x	事実確認	X03
105	131943	16513	1	その金属はすべてちょうどそこにあり、	そこにある金属巣箱全部。	x	x	専門知識	X03
106	131943	16513	2	そこに全員がいて、	そこが蜂たちがみんないた場所で、	x	x	事実確認	X03
107	131943	16513	3	３３人だった	３３個あった	x	x	事実確認	X03
108	143568	13082	1	〜の全域にわたる	〜全域の	o	o	n/a	X15
109	143568	13082	2	ソマリア	ソマリア人	o	o	n/a	X03
110	187266	18585	1	カナダの研究者	カナダ人研究者	o	o	n/a	X03
111	187266	18585	2	[空白]	ら	o	o	n/a	X01
112	187266	18585	3	ボトル入りの水	ボトル入りの飲料水	o	o	n/a	X04b
113	187266	18586	1	[空白]	ら	o	o	n/a	X01
114	187266	18586	2	一般的に〜を	〜全般を	o	o	n/a	X03
115	187266	18586	3	ボトル入りの水	飲料水	o	o	n/a	X04b
116	187266	18587	1	ボトル水	ボトル入り飲料水	o	o	n/a	X04b
117	187266	18588	1	ボトル入りの水	ボトル入り飲料水	o	o	n/a	X04b
118	187266	18588	2	サンプルで、７０％に	サンプルのうち７０％において	o	o	n/a	X15
119	187266	18589	1	カナダの研究者	カナダ人研究者	o	o	n/a	X03
120	187266	18589	2	の	である	o	o	n/a	X15
121	187266	18589-1	1	ペットボトルの水	ボトル入り飲料水	o	o	n/a	X04b
122	187266	18590	1	若い人	幼児	o	o	n/a	X04b
123	200857	12428	1	明らかな〜である	〜とみられる	o	o	n/a	X03
124	200857	12430	1	レスリング・プロモーション	レスリング団体	o	x	スタイル	X15
125	200857	12436	1	その	[空白]	o	o	n/a	X16
126	200857	12437	1	記事	声明	x	o	n/a	X03
127	200857	12437	2	は	では	o	o	n/a	X16
128	200857	12437	3	、	[空白]	o	x	スタイル	X14
129	200857	12437	4	ＷＷＥ	ワールド・レスリング・エンターテイメント	x	x	NE,スタイル	X07
130	200857	12438	1	ＷＷＥ	ワールド・レスリング・エンターテイメント	x	x	NE,スタイル	X07
131	200857	12438	2	敬意	追悼の意	x	o	n/a	X03
132	208980	14525	1	[空白]	一人の	o	o	n/a	X01
133	208980	14525	2	道路脇	道端	x	o	n/a	X14
134	208980	14526	1	にあった	の	o	o	n/a	X15
135	208980	14528	1	カスパーザック	カスプルザック	x	x	NE	X07
136	2406	50	1	コマンド・べルメーリョ	コマンド・ヴェルメーリョ	o	x	NE	X07
137	2406	51	1	コマンド・ベルメロ	コマンド・ヴェルメーリョ	o	x	NE	X07
138	24217	1914	1	にした	となった	o	o	n/a	X15
139	24217	1915	1	彼	自身	o	o	n/a	X16
140	25279	744	1	ウラジミール・ボロニン	ウラジミール・ボローニン	o	x	NE	X07
141	25279	745	1	ヴォロニン	ボローニン	o	x	NE	X07
142	25279	753	1	〜と言い、〜と断言した。	〜として〜と断言した。	o	o	n/a	X16
143	260917	10895	1	〜に取り調べられ	〜の取り調べを受け	o	o	n/a	X04b
144	260917	10895	2	犬	警察犬	o	o	n/a	X16
145	260917	10895	3	船上	機内	x	o	n/a	X03
146	263509	257	1	〜が部分的に	〜の一部が	o	o	n/a	X04b
147	263509	258	1	〜は〜ことを示唆している	〜によると、〜とみられている	o	x	スタイル	X14
148	263509	260	1	少なくとも１５人が	１５人以上が	o	o	n/a	X04b
149	263509	266	1	その過程	作業工程	x	o	n/a	X16
150	263509	267	1	吸い込む	吸い込んでいる	o	o	n/a	X03
151	263509	269	1	[空白]	「...」	o	o	n/a	X01
152	263509	269	2	[空白]	「...」	o	o	n/a	X01
153	2756	15060	1	費用	給付額	o	o	n/a	X04b
154	2756	15060	2	給付金のレベル	給付金の水準	o	x	スタイル	X14
155	2756	15060	3	公式	計算式	o	o	n/a	X04b
156	2756	15062	1	[空白]	、	o	o	n/a	X13
157	2756	15062	2	個人的な恩恵	個人の給付金	x	o	n/a	X03
158	2756	15062	3	軽減される	削減される	o	o	n/a	X03
159	2756	15074	1	ロザー	ローザー	x	x	NE	X07
160	2756	15075	1	ローター	ローザー	x	x	NE	X07
161	2756	15075	2	[空白]	提案	x	x	専門知識	X16
162	320674	14594	1	キムは	[空白]	x	o	n/a	X16
163	320674	14597	1	（キム・ジョンウン）	[空白]	x	o	n/a	X07
164	320674	14598	1	（キム・ジョンウン）	[空白]	x	o	n/a	X07
165	36619	19265	1	近隣の原住民の漁師であるハートリー・ベイ	近隣にあるハートリー・ベイの村の原住民の漁師	o	o	n/a	X03
166	36619	19265	2	ウィフレッド・ローリエ卿	サー・ウィルフリッド・ローリエ	o	x	NE	X07
167	36619	19265	3	迅速な反応のおかげ	迅速な対応のおかげ	x	o	n/a	X15
168	36619	19266	1	ハートリー湾	ハートリー・ベイ	o	o	n/a	X07
169	36619	19268	1	この１５時間で	この１５時間、	o	o	n/a	X15
170	36619	19269	1	救済活動	臨時便	x	o	n/a	X03
171	36619	19269	2	クイーン・オブ・プリンスルパート	クイーン・オブ・プリンス・ルパート	o	x	NE	X07
172	36619	19269	3	その走行を行う	航行する	o	o	n/a	X04b
173	392416	5781	1	[空白]	ある	o	o	n/a	X01
174	4162	10110	1	履物会社	シューズメーカー	x	o	n/a	X16
175	4162	10114	1	可能性があり、それのために	可能性があるため、	o	o	n/a	X15
176	43853	11631	1	石油生産量	石油産出量	o	x	用語	X07
177	46517	14761	1	フットボール	サッカー	o	x	スタイル	X14
178	46517	14764	1	買収	引き継ぎ	x	o	n/a	X03
179	4846	1258	1	直後の	過ぎに	o	o	n/a	X04b
180	4846	1258	2	ｋｍ	キロメートル	o	x	スタイル	X14
181	50206	15358	1	オペラ歌手中心の	オペラ歌手出身の	o	o	n/a	X03
182	50206	15359	1	〜と言ったが	〜と言い	o	o	n/a	X02
183	50206	15360	1	からかっていて	からかっても、	o	o	n/a	X16
184	50206	15360	2	[空白]	そのことを	o	o	n/a	X01
185	50206	15360	3	思わなかった	思わない	o	o	n/a	X03
186	50206	15360	4	依頼した	依頼しました	o	x	スタイル	X14
187	50206	15360	5	彼女はまったく馬鹿だ	彼女は本当に馬鹿な人だ	o	o	n/a	X15
188	50206	15360	6	だ	です	o	x	スタイル	X14
189	50206	15361	1	要求した	要求しました	o	x	スタイル	X14
190	50206	15362	1	だろうね？	でしょう？	o	x	スタイル	X14
191	50206	15362-1	1	それはまったく哀れですね	とても哀れですよね？	o	o	n/a	X01
192	50206	15363	1	シャーロット・チャーチ・ショー	シャルロット・チャーチ・ショー	x	x	NE	X07
193	52162	2582	1	以来	以降	o	x	スタイル	X14
194	52282	11616	1	による〜で〜との投稿があった	は〜で〜と投稿した	x	o	n/a	X16
195	52282	11617	1	〜と話し	〜とし	o	o	n/a	X03
196	52282	11618	1	その	この	x	o	n/a	X16
197	52282	11622	1	私達は、	[空白]	x	o	n/a	X16
198	54100	12685	1	過去６日間	この６日間	o	x	スタイル	X14
199	54100	12686	1	ベイト・ハヌーン	ベイトハヌーン	o	x	NE	X07
200	54100	12687	1	戦闘	軍事行動	x	x	専門知識	X16
201	54100	12688	1	兵士	過激派集団	o	x	専門知識	X16
202	5622	15916	1	作られた	制作された	x	o	n/a	X14
203	5622	15917	1	その	[空白]	x	o	n/a	X16
204	5622	15918	1	含まれていた	登場した	o	o	n/a	X04b
205	5622	15919	1	聴衆	観客	x	o	n/a	X14
206	5622	15920	1	など	[空白]	o	o	n/a	X02
207	5622	15921	1	その	[空白]	x	o	n/a	X16
208	5622	15921	2	ショー	番組	x	o	n/a	X16
209	5622	15922	1	その	同	x	x	スタイル	X16
210	56727	7565	1	ニュージーランド矯正局	ニュージーランド矯正省	o	x	NE	X07
211	56727	7567	1	イングリッドとマーク・リニア	イングリッド・リニアとマーク・リニア	o	x	スタイル	X14
212	56727	7569	1	が	は	o	o	n/a	X16
213	56727	7569	2	彼らは	[空白]	o	o	n/a	X16
214	56727	7569	3	警備員	看守	x	o	n/a	X03
215	56727	7570	1	イングリッド・レイニア	イングリッド・リニア	x	x	NE	X07
216	56727	7570	2	戻る	帰国する	o	x	スタイル	X14
217	56727	7570	3	お金を渡す	費用を提供する	o	x	専門知識	X04b
218	56727	7570	4	費用を提供すること	費用の提供	o	o	n/a	X04b
219	56727	7570	5	彼女に	[空白]	o	o	n/a	X16
220	56727	7575	1	ドラッグ	薬物	o	x	スタイル	X14
221	56727	7575	2	ドラッグ検査で	[空白]	o	o	n/a	X04b
222	56727	7575	3	〜が陽性だった	〜に陽性反応が出た	o	o	n/a	X15
223	56727	7576	1	ドラッグ	薬物	o	x	スタイル	X14
224	56727	7578	1	矯正省大臣	矯正大臣	o	x	用語	X07
225	58183	19607	1	以来	以降	o	x	スタイル	X14
226	58183	19609	1	[空白]	人数は	o	o	n/a	X16
227	58183	19609	2	[数字]	[数字]人	o	x	スタイル	X16
228	59277	14820	1	彼ら	村人ら	x	o	n/a	X16
229	59277	14820	2	熱い棒	熱した棒	o	o	n/a	X04b
230	59277	14822	1	発見した	知ることとなった	o	o	n/a	X04b
231	59780	16140	1	襲った後、	襲い、	o	o	n/a	X04b
232	59780	16142	1	[空白]	、	o	o	n/a	X13
233	66306	8143	1	は	が	x	o	n/a	X16
234	66306	8147	1	彼の側では、〜は	〜としては、	o	o	n/a	X04b
235	66306	8147	2	否定せず	否定しておらず	x	o	n/a	X03
236	66306	8147	3	〜した	〜している	x	o	n/a	X03
237	66306	8158	1	３月の	３月に行われた	o	o	n/a	X15
238	66306	8158	2	家	自宅	x	o	n/a	X14
239	66306	8158	3	への	に対する	x	o	n/a	X14
240	66306	8158	4	〜で	〜の際	o	o	n/a	X03
241	66306	8158	5	装填された拳銃	装填済み拳銃	o	o	n/a	X04b
242	66658	5808	1	東欧の解放	東欧解放	o	o	n/a	X07
243	66658	5808	2	それ	記念碑	x	o	n/a	X16
244	66658	5808	3	ものだと考えている	ものと考えている	o	x	スタイル	X14
245	69061	5651	1	ダルトン・マクギンティ	ダルトン・マッギンティー	o	x	NE	X07
246	702576	12073	1	７週間の休み前に	７週間の休みより前に	o	o	n/a	X15
247	702576	12086	1	フィンケルスタイン	フィンケルシュタイン	x	x	NE	X07
248	77264	17829	1	ルクセンブルグ	ルクセンブルク	o	o	n/a	X07
249	77264	17829	2	ジェシカ・メイヨン	ジェシカ・マヨン	o	x	NE	X07
250	77264	17830	1	メイヨン	マヨン	x	x	NE	X07
251	78103	35	1	監禁され〜拘束される	封鎖され〜封鎖が続く	x	o	n/a	X03
252	78103	35	2	〜され	〜されており	x	o	n/a	X03
253	78103	38	1	この症例	今回の症例	x	o	n/a	X16
254	78103	38	2	競走馬の	競走馬において	o	o	n/a	X16
255	78103	40	1	全国的な〜の停止は	全国的に〜が停止され	o	o	n/a	X04b
256	78103	40	2	停止され	休止され	o	o	n/a	X08
257	78103	40	3	レース	競馬	o	x	スタイル	X14
258	78103	40	4	〜に〜を与えた	〜は〜を被ることとなった	x	x	専門知識	X16
259	78103	41	1	[空白]	、	o	o	n/a	X13
260	78103	41	2	レース	競馬	o	x	スタイル	X14
261	78103	41	3	レース業界	競馬業界	o	x	スタイル	X14
262	78103	42	1	レース	競馬	o	x	スタイル	X14
263	81663	16815	1	彼は	[空白]	x	o	n/a	X16
264	81663	16815	2	元気で	体調は落ち着いており	o	o	n/a	X04b
265	81663	16817	1	彼	ジャン・クレティエン	x	o	n/a	X16
266	81663	16817	2	診断されていたので	診断されており	o	o	n/a	X15
267	81663	16817	3	命の危険を冒すことができた	命を落とす可能性もあった	o	o	n/a	X03
